precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes
367,Clayton Elementary School,7525 LaCrosse Avenue,Austin,TX,78739,-97.90668,30.194658,house,""
368,Bee Cave Baptist Church,13222 Hwy 71 West,Bee Cave,TX,78738,-97.946087,30.308967,house,"Combined precincts 324, 368"
369,Christ Episcopal Church,3520 West Whitestone Boulevard,Cedar Park,TX,78613,-97.881317,30.51066,house,""
370,Round Mountain Community Center,14340 Round Mountain Road,Leander,TX,78641,-97.948576,30.571213,house,""
371,Lago Vista High School,8039 Bar-K Ranch Road,Lago Vista,TX,78645,-97.97788,30.480356,house,""
372,Community Center at Jonestown,"18649 FM 1431, Suite 6A",Jonestown,TX,78645,-97.923803,30.491765,house,""
373,Lago Vista City Hall,5803 Thunderbird Street,Lago Vista,TX,78645,-97.988133,30.452891,house,""
374,Deer Creek Elementary School,2420 Zeppelin Drive,Cedar Park,TX,78613,-97.853111,30.482584,house,""
375,Volente Fire Department,15406 FM 2769,Volente,TX,78641,-97.90433,30.435928,house,""
401,Del Valle ISD Administration Building,5301 Ross Road,Del Valle,TX,78617,-97.613418,30.176036,house,""
402,Elroy Community Library,13512 FM 812,Del Valle,TX,78617,-97.638577,30.123925,house,""
403,Creedmoor Elementary School,5604 FM 1327,Creedmoor,TX,78610,-97.722423,30.088999,house,""
404,Blazier Elementary School,8601 Vertex Boulevard,Austin,TX,78744,-97.751992,30.156149,house,""
405,Ojeda Middle School,4900 McKinney Falls Parkway,Austin,TX,78744,-97.712574,30.190467,house,""
406,St. Alban's Episcopal Church,11819 IH-35 South,Austin,TX,78747,-97.798576,30.129576,house,"Combined precincts 406, 417"
407,South Rural Community Center,3518 South FM 973,Del Valle,TX,78617,-97.642107,30.198738,house,""
408,Southwest Church of Christ,8900 Manchaca Road,Austin,TX,78748,-97.818639,30.183882,house,"Combined precincts 408, 435"
409,Galindo Elementary School,3800 South 2nd Street,Austin,TX,78704,-97.771025,30.229037,house,""
410,Science & Health Resource Center,305 North Bluff Drive,Austin,TX,78745,-97.774978,30.197292,house,""
411,Akins High School,10701 South 1st Street,Austin,TX,78748,-97.800872,30.149237,house,"Combined precincts 411, 416"
412,Randalls Ben White,2025 West Ben White Boulevard,Austin,TX,78704,-97.789907,30.229575,house,"Combined precincts 412, 454"
413,Langford Elementary School,2206 Blue Meadow Drive,Austin,TX,78744,-97.764459,30.181907,house,"Combined precincts 413, 418, 448"
414,Texas Oaks Baptist Church,9910 Bilbrook Place,Austin,TX,78748,-97.817373,30.169933,house,""
415,Casey Elementary School,9400 Texas Oaks Drive,Austin,TX,78748,-97.814798,30.176509,house,""
416,Akins High School,10701 South 1st Street,Austin,TX,78748,-97.800872,30.149237,house,"Combined precincts 411, 416"
417,St. Alban's Episcopal Church,11819 IH-35 South,Austin,TX,78747,-97.798576,30.129576,house,"Combined precincts 406, 417"
418,Langford Elementary School,2206 Blue Meadow Drive,Austin,TX,78744,-97.764459,30.181907,house,"Combined precincts 413, 418, 448"
419,Odom Elementary School,1010 Turtle Creek Boulevard,Austin,TX,78745,-97.788792,30.205832,house,"Combined precincts 419, 447"
420,Parker Lane United Methodist Church,2105 Parker Lane,Austin,TX,78741,-97.73474,30.23375,house,""
421,Congress Avenue Baptist Church,1511 South Congress Avenue,Austin,TX,78704,-97.74946,30.248493,house,""
422,Fulmore Middle School,201 East Mary Street,Austin,TX,78704,-97.749803,30.243887,house,""
423,Montopolis Recreation Center,1200 Montopolis Drive,Austin,TX,78741,-97.700129,30.232282,house,""
424,HEB South Congress,2400 South Congress Avenue,Austin,TX,78704,-97.755167,30.239122,house,""
425,St. Elmo Elementary School,600 West St. Elmo Road,Austin,TX,78745,-97.773213,30.221686,house,"Combined precincts 425, 446"
426,Govalle Elementary School,3601 Govalle Avenue,Austin,TX,78702,-97.698573,30.264386,house,"Combined precincts 426, 444"
427,Allan Elementary School,4900 Gonzales Street,Austin,TX,78702,-97.69779,30.255629,house,"Combined precincts 427, 436"
428,Mexican American Cultural Center (MACC),600 River Street,Austin,TX,78701,-97.740169,30.25814,house,""
429,Dan Ruiz Branch Public Library,1600 Grove Boulevard,Austin,TX,78741,-97.706684,30.229417,house,""
430,"Ann Richards School, Portable 152",2206 Prather Lane (Enter off of Victory Lane),Austin,TX,78704,-97.788405,30.235415,house,"Combined precincts 430, 461"
431,Baty Elementary School,2101 Faro Drive,Austin,TX,78741,-97.713309,30.227327,house,""
432,Sanchez Elementary School,73 San Marcos Street,Austin,TX,78702,-97.735716,30.258298,house,"Combined precincts 432, 434, 438"
433,Travis High School,1211 East Oltorf Street,Austin,TX,78704,-97.743269,30.234034,house,"Combined precincts 433, 442"
434,Sanchez Elementary School,73 San Marcos Street,Austin,TX,78702,-97.735716,30.258298,house,"Combined precincts 432, 434, 438"
435,Southwest Church of Christ,8900 Manchaca Road,Austin,TX,78748,-97.818639,30.183882,house,"Combined precincts 408, 435"
436,Allan Elementary School,4900 Gonzales Street,Austin,TX,78702,-97.69779,30.255629,house,"Combined precincts 427, 436"
437,Twin Oaks Branch Library,1800 South 5th Street,Austin,TX,78704,-97.76227,30.248734,house,""
438,Sanchez Elementary School,73 San Marcos Street,Austin,TX,78702,-97.735716,30.258298,house,"Combined precincts 432, 434, 438"
439,Cantu/Pan Am Recreation Center,2100 East 3rd Street,Austin,TX,78702,-97.720878,30.258039,house,""
440,CityView at the Park Senior Apts,2000 Woodward Street,Austin,TX,78741,-97.74337,30.21791,house,""
441,Fiesta Mart Stassney,5510 South IH 35,Austin,TX,78745,-97.7643,30.20036,house,""
442,Travis High School,1211 East Oltorf Street,Austin,TX,78704,-97.743269,30.234034,house,"Combined precincts 433, 442"
443,Mendez Middle School,5106 Village Square Drive,Austin,TX,78744,-97.743655,30.188102,house,""
444,Govalle Elementary School,3601 Govalle Avenue,Austin,TX,78702,-97.698573,30.264386,house,"Combined precincts 426, 444"
446,St. Elmo Elementary School,600 West St. Elmo Road,Austin,TX,78745,-97.773213,30.221686,house,"Combined precincts 425, 446"
447,Odom Elementary School,1010 Turtle Creek Boulevard,Austin,TX,78745,-97.788792,30.205832,house,"Combined precincts 419, 447"
448,Langford Elementary School,2206 Blue Meadow Drive,Austin,TX,78744,-97.764459,30.181907,house,"Combined precincts 413, 418, 448"
450,Dove Springs Recreation Center,5801 Ainez Drive,Austin,TX,78744,-97.739664,30.187694,house,""
451,Bedichek Middle School,6800 Bill Hughes Road,Austin,TX,78745,-97.787279,30.195252,house,""
452,Houston Elementary School,5409 Ponciana Drive,Austin,TX,78744,-97.755307,30.197144,house,""
454,Randalls Ben White,2025 West Ben White Boulevard,Austin,TX,78704,-97.789907,30.229575,house,"Combined precincts 412, 454"
458,Mockingbird Post Office,7310 Manchaca Road,Austin,TX,78745,-97.80864,30.198201,house,""
460,ACC South Austin Campus,1820 West Stassney Lane,Austin,TX,78745,-97.795959,30.215651,house,""
461,"Ann Richards School, Portable 152",2206 Prather Lane (Enter off of Victory Lane),Austin,TX,78704,-97.788405,30.235415,house,"Combined precincts 430, 461"
463,Williams Elementary School,500 Mairo Street,Austin,TX,78748,-97.791978,30.180655,house,""
