id,source_id,county_name,county_fips,LocationName,address_line1,location_detail ,city,state,state_fips,zip5,Zip4,Latitude,Longitude,Schedule,exceptions,Notes,Source,date_acquired,county_wide,van_precinct_ids
140,140,Travis,453,Clayton Elementary School,7525 LaCrosse Ave.,,Austin,TX,48,78739,,30.196015,-97.906028,Street,4.85E+14,,,2/27/2016,Yes,
141,141,Travis,453,Christ Episcopal Church,3520 West Whitestone Blvd.,,Cedar Park,TX,48,78613,,30.536717,-97.77748,Street,4.85E+14,,,2/27/2016,Yes,
142,142,Travis,453,Round Mountain Community Center,14340 Round Mountain Rd.,,Leander,TX,48,78641,,30.572717,-97.949351,Street,4.85E+14,,,2/27/2016,Yes,
143,143,Travis,453,Lago Vista Middle School,8039 Bar-K Ranch Rd.,,Lago Vista,TX,48,78645,,30.481088,-97.977588,Street,4.85E+14,,,2/27/2016,Yes,
144,144,Travis,453,Community Center at Jonestown,"18649 FM 1431, Suite 6A",,Jonestown,TX,48,78645,,30.492406,-97.923566,Street,4.85E+14,,,2/27/2016,Yes,
145,145,Travis,453,Lago Vista City Hall,5803 Thunderbird St.,,Lago Vista,TX,48,78645,,30.453819,-97.986968,Street,4.85E+14,,,2/27/2016,Yes,
146,146,Travis,453,Deer Creek Elementary,2420 Zeppelin Dr.,,Cedar Park,TX,48,78613,,30.483463,-97.853221,Street,4.85E+14,,,2/27/2016,Yes,
147,147,Travis,453,Volente Fire Dept,15406 FM 2769,,Volente,TX,48,78641,,30.435609,-97.904141,Street,4.85E+14,,,2/27/2016,Yes,
148,148,Travis,453,Del Valle ISD Administration Building,5301 Ross Rd.,,Del Valle,TX,48,78617,,30.178109,-97.615233,Street,4.85E+14,,,2/27/2016,Yes,
149,149,Travis,453,Elroy Community Library,13512 FM 812,,Del Valle,TX,48,78617,,30.124568,-97.639672,Street,4.85E+14,,,2/27/2016,Yes,
150,150,Travis,453,Creedmoor Elementary School,5604 FM 1327,,Austin,TX,48,78747,,30.088886,-97.72242,Street,4.85E+14,,,2/27/2016,Yes,
151,151,Travis,453,Blazier Elementary School,8601 Vertex Blvd.,,Austin,TX,48,78747,,30.156193,-97.752773,Street,4.85E+14,,,2/27/2016,Yes,
152,152,Travis,453,Ojeda Middle School,4900 McKinney Falls Pkwy,,Austin,TX,48,78744,,30.189835,-97.711683,Street,4.85E+14,,,2/27/2016,Yes,
153,153,Travis,453,St. Alban's Episcopal Church,11819 IH-35 South,,Austin,TX,48,78747,,30.129874,-97.79939,Street,4.85E+14,,,2/27/2016,Yes,
154,154,Travis,453,Community Center at Del Valle,3518 South FM 973,,Del Valle,TX,48,78617,,30.198186,-97.642551,Street,4.85E+14,,,2/27/2016,Yes,
155,155,Travis,453,Southwest Church,8900 Manchaca Rd.,,Austin,TX,48,78748,,30.183038,-97.818318,Street,4.85E+14,,,2/27/2016,Yes,
156,156,Travis,453,Galindo Elementary School,3800 South 2nd St.,,Austin,TX,48,78704,,30.228689,-97.771459,Street,4.85E+14,,,2/27/2016,Yes,
157,157,Travis,453,Science & Health Resource Center,305 North Bluff Dr.,,Austin,TX,48,78745,,30.197331,-97.77477,Street,4.85E+14,,,2/27/2016,Yes,
158,158,Travis,453,Akins High School,10701 South 1st St.,,Austin,TX,48,78748,,30.15083,-97.801907,Street,4.85E+14,,,2/27/2016,Yes,
159,159,Travis,453,Randalls Ben White,2025 West Ben White Blvd.,,Austin,TX,48,78704,,30.230087,-97.789789,Street,4.85E+14,,,2/27/2016,Yes,
160,160,Travis,453,Langford Elementary,2206 Blue Meadow Dr.,,Austin,TX,48,78744,,30.181589,-97.763857,Street,4.85E+14,,,2/27/2016,Yes,
161,161,Travis,453,Texas Oaks Baptist Church,9910 Bilbrook Place,,Austin,TX,48,78748,,30.168671,-97.817186,Street,4.85E+14,,,2/27/2016,Yes,
162,162,Travis,453,Casey Elementary School,9400 Texas Oaks Dr.,,Austin,TX,48,78748,,30.174723,-97.814599,Street,4.85E+14,,,2/27/2016,Yes,
