addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
10010 Anderson Mill Rd Austin,,Austin,TX,,193,30.44716,-97.8007,Zip9,4.8491E+14
AUS 10701 Lakeline Mall Dr Austin,,Austin,TX,,196,30.47466,-97.79591,Zip9,4.8491E+14
9700 Neenah Ave Austin,,Austin,TX,,197,30.48842,-97.76903,Zip9,4.8491E+14
13427 Pond Springs Rd Austin,,Austin,TX,,198,30.45145,-97.78666,Zip9,4.8491E+14
7617 Elkhorn Mountain Trail Austin,,Austin,TX,,199,30.44903,-97.75742,Zip9,4.8491E+14
140 W Clark St Bartlett,,Bartlett,TX,,200,30.79584,-97.42961,Zip9,4.8491E+14
620 S Commerce St Coupland,,Coupland,TX,,208,30.45195,-97.39044,Zip9,4.8491E+14
6600 FM 970 Andice Florence,,Florence,TX,,209,30.8433,-97.79482,Zip5,4.8491E+14
106 S Patterson Ave Florence,,Florence,TX,,210,30.8433,-97.79482,Zip5,4.8491E+14
3151 SE Inner Loop Georgetown,,Georgetown,TX,,211,30.6282,-97.64349,Zip9,4.8491E+14
4011 Williams Dr Georgetown,,Georgetown,TX,,213,30.67606,-97.70592,Zip9,4.8491E+14
1333 W University Ave Georgetown,,Georgetown,TX,,214,30.63282,-97.70734,Zip9,4.8491E+14
500 Terminal Dr Georgetown,,Georgetown,TX,,215,30.67938,-97.67603,Zip9,4.8491E+14
603 Lakeway Dr Georgetown,,Georgetown,TX,,216,30.66822,-97.68821,Zip9,4.8491E+14
111 West 10th St ­ Ministry Center Georgetown,,Georgetown,TX,,217,30.635046,-97.6771,Street,4.8491E+14
1101 N College St Georgetown,,Georgetown,TX,,218,30.65195,-97.66345,Zip9,4.8491E+14
5404 Williams Dr Georgetown,,Georgetown,TX,,219,30.7029,-97.7444,Zip9,4.8491E+14
2 Texas Dr Georgetown,,Georgetown,TX,,220,30.71698,-97.71569,Zip9,4.8491E+14
301 S E Inner Loop Georgetown,,Georgetown,TX,,222,30.60673,-97.6788,Zip9,4.8491E+14
401 W Front St Hutto,,Hutto,TX,,224,30.54178,-97.55046,Zip9,4.8491E+14
200 College St Hutto,,Hutto,TX,,225,30.54543,-97.54328,Zip9,4.8491E+14
